"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Celf4",558.539139353247,0.104193306188859,0.0770974729858272,1.35144904435471,0.176551632258948,0.999902975451883
"Tmem145",16.8291023670395,-0.367308088507301,0.271941202394777,-1.35068935958472,0.176794962185244,0.999902975451883
"Gamt",38.0076374228523,0.225244919558565,0.166777032697933,1.35057517162167,0.176831558618316,0.999902975451883
"Olfml1",43.6854037439919,-0.232099579528231,0.171927497240419,-1.34998521617324,0.17702072508078,0.999902975451883
"Galnt18",6.42738975767795,0.509874460058094,0.37770062917498,1.34994336962537,0.177034148705008,0.999902975451883
"Sox8",61.6315710536824,-0.202517570013245,0.150022572018799,-1.34991399819401,0.177043570987866,0.999902975451883
"Eef1d",515.960386698289,-0.103945313276944,0.0770344693141782,-1.34933509898034,0.177229356684445,0.999902975451883
"Slc1a5",11.7193194526179,0.476163189348672,0.352962959822441,1.34904577406141,0.177322263924509,0.999902975451883
"Ca11",40.8605557203824,0.207513705218511,0.153854675965763,1.34876437076692,0.177412662187722,0.999902975451883
"Ccdc12",36.8203902234388,0.201920852318848,0.149729456756473,1.34857132786678,0.177474695318486,0.999902975451883
"N4bp2",22.3223597104777,-0.299916897847849,0.222397608713091,-1.34856170254404,0.177477788778579,0.999902975451883
"Coro1c",233.624306817982,0.111707699919582,0.0828398936526163,1.34847710437705,0.177504979314168,0.999902975451883
"Rad51d",9.26454859588563,0.426079517570696,0.316039551149961,1.34818416245795,0.177599157187419,0.999902975451883
"Camsap2",139.997216615804,0.177608687856562,0.13174696074133,1.34810463070398,0.177624732265208,0.999902975451883
"Ndufa4l2",19.5381394446137,0.357996301770462,0.265558799116041,1.348086762563,0.177630478512156,0.999902975451883
"Xkr4",36.8564133273969,0.253370188076882,0.187986089708344,1.34781349231733,0.177718377219035,0.999902975451883
"Emc1",184.445741712689,0.135808953007869,0.10076682163419,1.34775465580219,0.177737306507187,0.999902975451883
"LOC121142732",7.28535062273756,-0.492203994296043,0.365402584042012,-1.34701837313622,0.177974315375174,0.999902975451883
"Cul3",147.977303426338,0.128459101325523,0.0953799113551548,1.34681506305028,0.178039802179165,0.999902975451883
"Pitpnb",329.753597283841,0.0977621836042645,0.0725910712319995,1.34675218239746,0.178060059861869,0.999902975451883
"B3galt4",30.7800972638115,0.239141670256863,0.177615534722086,1.34640064356446,0.178173343508035,0.999902975451883
"Acad8",23.3629333205311,0.305218522943549,0.226710274480583,1.3462932972175,0.17820794663525,0.999902975451883
"Cdh12",8.98608470351996,0.445717119991839,0.331081464089885,1.34624607033522,0.178223171819069,0.999902975451883
"Exoc8",33.9110526745194,0.210695620703272,0.156538302814608,1.34596847490293,0.178312683670027,0.999902975451883
"Brdt",21.3076601624999,-0.302025977878648,0.224444824574177,-1.34565801840902,0.178412831338202,0.999902975451883
"LOC106021569",21.8555083119897,0.286201032385168,0.212702317645535,1.3455473149198,0.178448552409187,0.999902975451883
"Poli",20.6044475018843,0.292837002897918,0.2176530165559,1.34543048165247,0.178486257167924,0.999902975451883
"Cnr1",61.6071981260223,0.213064595196251,0.158362894491112,1.34541993489648,0.178489661138189,0.999902975451883
"Snrpd1",160.853211323583,-0.148514862581545,0.11039765389987,-1.3452719087332,0.178537441745889,0.999902975451883
"Vps36",81.6495816359128,-0.174873141753838,0.130013823826247,-1.34503498633762,0.178613936517478,0.999902975451883
"Luc7l",65.7740054547366,0.206916609495827,0.153856679035808,1.34486595442288,0.178668526495112,0.999902975451883
"Hk2",6.32267717494225,-0.496067674219762,0.368861222607235,-1.34486263075687,0.178669600019504,0.999902975451883
"Pm20d1",8.90852661215935,0.439832980782641,0.32705415913088,1.3448322502654,0.178679412960285,0.999902975451883
"Irs1",20.7554887201434,0.308631759838708,0.22950355575539,1.34477986113494,0.178696335663733,0.999902975451883
"Elac1",61.9463911327336,0.187232684867379,0.139260397167429,1.34447903837495,0.178793530319283,0.999902975451883
"Sptan1",329.508816206233,0.151522339050808,0.112731663427305,1.34409742963224,0.178916883184885,0.999902975451883
"Net1",36.3490421962643,-0.226970368865136,0.168936949814368,-1.34352117233404,0.179103275038783,0.999902975451883
"Robo4",10.2581701223962,-0.419747187579674,0.312433659261613,-1.34347620730647,0.179117825159715,0.999902975451883
"Pla2g15",36.9553244393996,0.211325265955886,0.157339586352171,1.34311568280648,0.179234518161423,0.999902975451883
"Pyroxd1",47.6835805973816,-0.186161005347543,0.138619687217925,-1.34296223778718,0.17928420172403,0.999902975451883
"Flt1",42.1334236493708,0.27906254072866,0.207807267588626,1.34289115085758,0.179307222246121,0.999902975451883
"Manea",6.27530259875293,0.571372215494076,0.42570247280793,1.34218674306802,0.17953545379683,0.999902975451883
"LOC101841510",52.1805308374363,0.232338653390609,0.17315315063385,1.34181014056113,0.179657563398527,0.999902975451883
"Gpi",244.415274395263,0.128614151101598,0.0959491010118395,1.34044143973509,0.180101870851271,0.999902975451883
"Purg",59.6420871203186,0.211640145130623,0.157974048234083,1.33971463981868,0.180338136147457,0.999902975451883
"Synrg",33.6692548114945,0.241834010019333,0.180514441813039,1.33969342059514,0.180345037467782,0.999902975451883
"Rgs14",14.1363671229535,-0.399720462510261,0.298563437804411,-1.33881249978143,0.180631720493941,0.999902975451883
"Psma5",37.2154948058791,-0.220515276430347,0.164722161379426,-1.33871043570395,0.180664957647741,0.999902975451883
"Svil",10.6244018290485,-0.413115809327799,0.308593832450672,-1.33870403710623,0.180667041501555,0.999902975451883
"Hnrnpab",95.6548362653995,0.152090689822629,0.113621409465114,1.33857422239888,0.180709322568409,0.999902975451883
"Myo5a",211.089920308698,0.179782817553548,0.134357952942878,1.33808839458861,0.180867623455501,0.999902975451883
