"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Znf335",38.767193550434,0.104352783503542,0.147436668114678,0.70778039708802,0.479081641604307,0.995283016241646
"Ly6e",447.611105094287,-0.0492852458349161,0.0696396155542104,-0.707718522606582,0.479120072504878,0.995283016241646
"LOC121140443",8.16052056392095,-0.246900463673609,0.348929613016923,-0.707593894192163,0.479197485651397,0.995283016241646
"Znhit3",60.2319980049823,-0.0879871220719196,0.124358032730132,-0.707530668829887,0.479236760800427,0.995283016241646
"Exosc3",20.542924542004,-0.155228980561894,0.219412223960419,-0.707476446662773,0.479270444627635,0.995283016241646
"LOC101833795",30.7949696184042,0.131062523875441,0.185259956483319,0.707451984569813,0.479285641361575,0.995283016241646
"Vps26b",128.311997234584,0.0635978877380866,0.0898979737938085,0.707445174281189,0.479289872205162,0.995283016241646
"Gas2l1",56.1337134721906,0.0882347799071603,0.124761795115191,0.707225956677638,0.479426070477008,0.995283016241646
"Rfc5",20.7019893490196,-0.132289971345739,0.187068566121055,-0.707173706886344,0.479458536001541,0.995283016241646
"Ammecr1l",44.5606006867024,-0.108421819722341,0.153329626143157,-0.707115920449141,0.479494443130399,0.995283016241646
"Hmox1",36.0321261183438,0.103968555325343,0.14707288029698,0.706918604676825,0.479617061554748,0.995283016241646
"Mapk8",21.2990247067701,-0.147138506173951,0.208198416371565,-0.706722504129704,0.479738941745805,0.995283016241646
"Kdm5b",93.4859785504233,-0.0833747028834341,0.117981977961625,-0.706673208263661,0.479769582713949,0.995283016241646
"Ajap1",38.8272216625587,0.13552775223962,0.191792533626214,0.706637269330574,0.479791922049018,0.995283016241646
"Rspo4",5.45938513603959,0.337534426645185,0.477734394157491,0.706531559739265,0.479857633520176,0.995283016241646
"Cst6",261.425556505108,-0.0564803832566496,0.0799456410658533,-0.706484837742752,0.479886678533235,0.995283016241646
"Lrrk1",6.16427361658289,-0.265335630796914,0.375664485846799,-0.706310127237106,0.47999529687605,0.995283016241646
"Suclg2",205.773736804479,0.0503224719751247,0.0712470636672504,0.706309416625911,0.479995738693743,0.995283016241646
"Fam234b",78.0528505806409,0.0836587586192678,0.118462436084331,0.70620494888112,0.480060693218408,0.995283016241646
"Prr14",18.1574277462422,-0.154470396550925,0.218756922419967,-0.70612803856499,0.480108516524999,0.995283016241646
"Tmem62",19.2541830963795,0.146043632450377,0.206833770744006,0.706091814334961,0.480131041873293,0.995283016241646
"LOC101826700",270.511663275911,-0.0502632397280988,0.0712010420561473,-0.705934046421153,0.480229153567954,0.995283016241646
"Josd2",92.2493628193253,0.0913945031712751,0.129543936209366,0.705509696907508,0.480493099532861,0.995283016241646
"Tufm",168.738591459525,-0.0603038650160592,0.0854978794470332,-0.705325856104046,0.480607473296231,0.995283016241646
"Grik1",46.2134447046467,0.120272277178298,0.170528309491241,0.705292144964795,0.480628447778704,0.995283016241646
"Gpd2",132.406472563848,-0.0588273812338079,0.0834391322063787,-0.705033473841794,0.480789405030275,0.995283016241646
"Rpl27",49.0257607579105,0.123271380875296,0.174918957992333,0.704734251165039,0.480975631972635,0.995283016241646
"Leng8",8.18931181099861,0.228120417709157,0.323720237437757,0.704683832913038,0.481007014600364,0.995283016241646
"LOC101840911",16.6221098041035,-0.167556884196479,0.238024605297108,-0.703947745180927,0.481465316246569,0.995283016241646
"Mdc1",28.9131119625053,0.147189378268855,0.209122680896005,0.703842250100316,0.481531018872014,0.995283016241646
"LOC101823323",71.0311032971264,-0.0823991517849879,0.117123132848427,-0.703525851648994,0.481728101951816,0.995283016241646
"Cdh7",47.2083945850836,0.110993867584015,0.157808413114528,0.703345692371054,0.481840341907512,0.995283016241646
"Ptpn11",270.620964870146,-0.056686165894584,0.0806142688103977,-0.703177821136208,0.481944939164114,0.995283016241646
"Gmppb",19.6624926166405,0.14808901518608,0.210643143008013,0.703032688704451,0.482035378273087,0.995283016241646
"Sfrp1",14.6630542207396,-0.205478892990075,0.292379756237019,-0.702780847876154,0.482192334496981,0.995283016241646
"Tmem179b",21.8309766962671,-0.146281260155356,0.208162367329221,-0.702726732176347,0.482226064965731,0.995283016241646
"Phlda3",117.171439467846,-0.0766240881834809,0.109040855799585,-0.702709893659628,0.482236560722495,0.995283016241646
"Tmco6",45.9091571331304,-0.0989684407396464,0.140936521978011,-0.702219973578515,0.482541991275035,0.995283016241646
"Smarcd1",60.2511664057437,0.0837740149208855,0.119325703084081,0.702061775088434,0.482640639304183,0.995283016241646
"Cbr3",12.1594201036692,0.174713273561146,0.248920583228752,0.701883593935616,0.482751761067513,0.995283016241646
"Sptssa",146.291807015419,-0.0598348130025973,0.0852592612472526,-0.701798398523251,0.482804897661443,0.995283016241646
"Tfam",54.2976707920991,-0.0874424069018174,0.124622967258215,-0.701655632389491,0.4828939483826,0.995283016241646
"Kif26b",31.119598074265,0.130183413433532,0.185558219847804,0.701577184456228,0.482942884268442,0.995283016241646
"Ppp1r32",10.0079094823009,-0.356664937185901,0.508406041575795,-0.701535599538559,0.482968826066882,0.995283016241646
"Asb2",5.91594566125091,0.343127869891987,0.489114043518157,0.701529376306386,0.482972708352842,0.995283016241646
"Sh3glb2",692.364097110965,0.0393571083140503,0.0561054129125344,0.701485048784975,0.483000362015872,0.995283016241646
"Ak7",8.39658686847316,-0.493885495281858,0.704097200539133,-0.701445048927457,0.483025316609834,0.995283016241646
"Tmem161b",7.44003777767245,-0.276462288595531,0.394149997739406,-0.701413903795871,0.483044747516701,0.995283016241646
"Sod1",831.581403941493,-0.0496550925234323,0.0708631226473832,-0.700718380285291,0.483478783127815,0.995283016241646
"Cyyr1",18.1616621585518,0.156139892502422,0.222897255888448,0.70050163641568,0.48361408356772,0.995283016241646
"Sycp3",34.4750079402611,0.158173890140415,0.225823447401128,0.700431651189227,0.483657775613064,0.995283016241646
"Telo2",25.760927343805,0.130153866600684,0.18585039547705,0.700315252311398,0.48373044862247,0.995283016241646
"Eprs1",258.513621139929,-0.0623207671068457,0.0890165263136683,-0.700103336848323,0.483862772105587,0.995283016241646
"LOC101823809",79.1220832980378,0.0804521447334479,0.114924530779458,0.700043273509962,0.483900280208066,0.995283016241646
"Wdr13",105.114580641171,-0.0783856367582269,0.111974675633028,-0.700030040856011,0.483908543892501,0.995283016241646
"Dnm3",188.456288034287,-0.0765811125146949,0.10941054626606,-0.699942694084242,0.48396309315914,0.995283016241646
"Tmem120b",13.4942347328116,0.20176913862072,0.288321035549001,0.699807207047953,0.484047713285313,0.995283016241646
"Senp7",73.9962602533586,-0.102048772495186,0.145881194755233,-0.699533429695364,0.484218728848103,0.995283016241646
"Tmem265",22.0949979125443,-0.139457213148672,0.199358681814376,-0.699529169632657,0.484221390163492,0.995283016241646
"LOC121134661",13.508388554076,-0.196152373284908,0.280428195022959,-0.699474506366412,0.484255539705372,0.995283016241646
"Slc16a14",11.8184140573122,0.236815834502202,0.338663722789795,0.699265432244691,0.484386165709255,0.995283016241646
"Kif3b",36.4628774892813,-0.110053827842646,0.157432371787718,-0.69905462639566,0.48451789300394,0.995283016241646
"Csf1",19.6783300081039,-0.146641701344979,0.209795422083738,-0.698974743531093,0.484567814877326,0.995283016241646
"LOC101834678",57.7128479359593,-0.299702660322312,0.428822698458225,-0.698896446946146,0.484616748128629,0.995283016241646
"Dst",667.460723273875,-0.0771573016167208,0.110468489861502,-0.698455294477684,0.484892506552391,0.995283016241646
"Rftn1",79.7672850169488,-0.112648782048027,0.161323035219193,-0.698280824526822,0.485001588803925,0.995283016241646
"Plek",12.4325699700806,0.195117060197078,0.279540836655163,0.697991257848924,0.485182661261807,0.995283016241646
"Ccdc40",62.8753224856794,-0.155449127522104,0.222718125565676,-0.697963522848815,0.485200006492594,0.995283016241646
"Cyfip1",55.2796723957471,-0.0874453774145202,0.125305296716379,-0.697858587833265,0.485265634988181,0.995283016241646
"Rad18",11.5907545328447,-0.195476193724524,0.280153462983012,-0.697746840760549,0.485335529167293,0.995283016241646
"Vps11",71.8549092222771,-0.0829792477863446,0.118961558383097,-0.697529932477203,0.485471213837732,0.995283016241646
"Ranbp1",312.800536759082,-0.0556321274769883,0.0797580863610838,-0.697510810692328,0.48548317625173,0.995283016241646
"Actr1b",168.312934083044,0.0581735130047022,0.0834591370974038,0.697029888253084,0.485784089400376,0.995283016241646
"Ypel4",75.0186023209644,-0.0772152963186098,0.110803143676908,-0.696869183998628,0.485884664535944,0.995283016241646
"LOC106021469",31.231291144482,-0.1369463428177,0.196609503153358,-0.696539793963471,0.486090845167818,0.995283016241646
"Ewsr1",169.638658307141,-0.0710522611918949,0.102007750398811,-0.696537870055047,0.486092049571084,0.995283016241646
"Hipk2",179.821669482657,0.0998891529098946,0.14342251428141,0.696467729703172,0.486135959867434,0.995283016241646
"Surf2",31.1499397035027,-0.120038966198118,0.172364662365346,-0.696424455864868,0.486163051863155,0.995283016241646
"Myo16",12.2455198070464,0.288867227089991,0.414787865928208,0.696421594791754,0.486164843093812,0.995283016241646
