"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Kdelr2",118.750023113921,-0.0413382807066828,0.120070258735397,-0.344284097844591,0.730632642221402,0.999563971498878
"Anp32a",142.746139115081,-0.0425448121537569,0.123639577468109,-0.34410350653884,0.730768445921081,0.999563971498878
"Pgap4",372.514092184853,0.0319238746616328,0.0927946696488522,0.344027030673606,0.730825957908132,0.999563971498878
"Efnb1",22.5860546232488,0.0941150961419524,0.27364384490955,0.343932808622321,0.730896817603385,0.999563971498878
"LOC101834814",56.2842938285421,0.0467662537379085,0.136002285306751,0.343863734586723,0.730948766191822,0.999563971498878
"Sox14",18.8114086307618,0.157279693043515,0.457391755121582,0.343862107881038,0.730949989605088,0.999563971498878
"Skida1",13.3354496688006,-0.121928944365926,0.354693365511839,-0.343758739862465,0.731027732056568,0.999563971498878
"Nubp1",8.43912445143162,-0.099686218637227,0.290021352173745,-0.343720274007643,0.731056662694887,0.999563971498878
"Eif4e2",62.7126143083591,-0.0407001125265956,0.118479268355856,-0.343520964396502,0.731206572007918,0.999563971498878
"Chkb",23.8315939134984,-0.077957983000498,0.227023003659229,-0.343392439285651,0.731303246704037,0.999563971498878
"Mettl2a",19.2900269118239,0.0866575810737814,0.252560463610713,0.343116178339584,0.731511060560904,0.999563971498878
"Creb3",99.1816753415332,-0.042030513626594,0.122538616701159,-0.342998107519819,0.731599883874595,0.999563971498878
"Ephb2",10.4644644094688,0.105620374495997,0.307963370346637,0.342964081660468,0.731625481803253,0.999563971498878
"Idh3g",393.910412563421,0.023853870913806,0.0695708766216791,0.342871501296748,0.731695132270275,0.999563971498878
"Tmem184b",70.8636019092459,-0.0516709469870113,0.15079117590589,-0.342665588199004,0.731850053645613,0.999563971498878
"Bcas3",84.9565205595637,-0.04025006020056,0.117498254307535,-0.342558793215866,0.731930406534183,0.999563971498878
"Clic5",9.86039550880618,0.103139432731693,0.301215058514778,0.342411276648152,0.732041403308418,0.999563971498878
"Phospho2",61.0274726576625,0.0454047152548627,0.132604883351367,0.342406057057133,0.732045330819252,0.999563971498878
"Mturn",159.37104347561,-0.0362059110839726,0.105820181684985,-0.342145614451443,0.732241311244735,0.999563971498878
"Iqcc",37.3928613617979,0.0512840371405509,0.15005267510465,0.341773561216316,0.732521307831123,0.999563971498878
"Ppil3",59.6591969409003,0.0405005191457196,0.118521991521635,0.34171311691406,0.732566799841273,0.999563971498878
"Bex1",724.213024464746,0.0409986227591345,0.120042075617056,0.341535437040621,0.732700531940622,0.999563971498878
"Rab21",341.988166729246,0.0179663910014682,0.052606397472144,0.34152483091019,0.732708514981551,0.999563971498878
"Vash2",6.51855733421584,-0.147384233301252,0.431557231030308,-0.341517237353164,0.732714230531187,0.999563971498878
"Mief2",17.224617931363,-0.0806322709089526,0.236110103032008,-0.341502840723516,0.732725066686108,0.999563971498878
"Msi1",105.267706112187,0.0340927233629945,0.0998870869681145,0.341312620057459,0.732868248296236,0.999563971498878
"Hmgb1",255.849011612554,-0.0286099793299609,0.0838792623808255,-0.341085251799985,0.733039403585908,0.999563971498878
"Cdc16",171.818136530789,0.0313090828644631,0.091823199151529,0.340971379278521,0.733125128035767,0.999563971498878
"C2cd5",49.8999622083458,0.0529752699513429,0.155407234084903,0.340880334582115,0.733193669849761,0.999563971498878
"Prkce",134.921296831845,0.0551108667578897,0.161783258599664,0.34064628957847,0.733369877344507,0.999563971498878
"Zswim6",28.1467203527647,0.0720104453723947,0.211507066165529,0.340463544211039,0.733507472204419,0.999563971498878
"Fam98b",176.072911638755,0.0316693900404057,0.093041721655095,0.340378375174568,0.733571601633992,0.999563971498878
"Smim19",113.189744727503,-0.0399003738864804,0.117322063575072,-0.340092670301089,0.733786741403146,0.999563971498878
"Wdr4",24.6656674863216,0.0780175828205645,0.229490493366265,0.339959976886926,0.733886668511819,0.999563971498878
"Ca10",120.946681880351,0.0583324115479949,0.171617682969609,0.339897442609832,0.733933762611606,0.999563971498878
"Rprm",181.277702546034,-0.178499098096215,0.525386968779326,-0.339747859584216,0.734046416538262,0.999563971498878
"Tomm6",416.155578007378,-0.0245639037757661,0.0723253192702768,-0.339630768638183,0.734134604033989,0.999563971498878
"Gabrg2",314.325305350343,0.0276469612142224,0.0814082841490554,0.33960869588655,0.734151228604563,0.999563971498878
"Rcan1",126.352196096155,-0.0400868085449134,0.118038467090888,-0.339608006888526,0.734151747540341,0.999563971498878
"Zmynd19",39.1156899082391,-0.0613311249764946,0.180723601887123,-0.339364224351842,0.734335365963768,0.999563971498878
"Thap6",13.2526948605615,-0.0860543863251505,0.253632918501415,-0.339287135256737,0.734393433080171,0.999563971498878
"Ankrd44",31.4891062518657,0.0655546866810723,0.193345024825197,0.339055461811548,0.734567949507525,0.999563971498878
"Chst15",17.4492592929526,-0.107045635656312,0.315763882664831,-0.339005318635306,0.734605723479098,0.999563971498878
"Atp6ap2",466.475360677764,-0.0341631909390637,0.100775653407312,-0.339002425526172,0.734607902942245,0.999563971498878
"Sfi1",13.9653846642795,0.106384735787453,0.313968942095236,0.338838405727352,0.734731467316259,0.999563971498878
"Noct",41.9089579140074,-0.0496221320708834,0.146491729828877,-0.338736747315694,0.734808055164408,0.999563971498878
"Med23",20.9416785971513,-0.0637225421823771,0.188120961221529,-0.338731748809948,0.734811821028039,0.999563971498878
"Znf169",11.8220812221686,-0.111041067694756,0.328054686645898,-0.338483406013989,0.734998929990265,0.999563971498878
"Pusl1",27.6497330757951,0.0659046995819866,0.194750479930741,0.338405839130278,0.735057374446998,0.999563971498878
"Pcca",53.1502485837457,0.0549127163401573,0.16227701751499,0.338388745252141,0.735070254407826,0.999563971498878
"Sgms1",68.8322131197119,0.0412370246310555,0.121889459211174,0.338314936319573,0.7351258691006,0.999563971498878
"Nmt2",66.6918440270089,-0.0433042614136677,0.128021433169854,-0.338257902145286,0.735168845041002,0.999563971498878
"Uchl1",744.400864822639,-0.0216677445910948,0.0640643716800262,-0.33821832670608,0.735198666100547,0.999563971498878
"Ppp4r4",46.2724658503628,0.0740511714226093,0.218955255163255,0.338202302417432,0.735210740906757,0.999563971498878
"Mrpl32",216.160140856631,0.0326038959026424,0.0964268353734051,0.338120563392819,0.735272334854515,0.999563971498878
"Vdac2",532.395101157303,-0.0227991140836498,0.067433054609241,-0.338099975090339,0.735287849313766,0.999563971498878
"Txlng",59.9359930990676,0.0629786353081193,0.186293465883798,0.338061429097051,0.735316896206819,0.999563971498878
"Dnajb4",72.6684074183794,-0.058370520182434,0.172799738157726,-0.337792874021345,0.735519280287468,0.999563971498878
"Etfa",73.7194113233392,-0.056554078740668,0.167428665634742,-0.33778014371831,0.735528874345977,0.999563971498878
"Exosc4",42.1281413074861,-0.0591911815203786,0.175355357831679,-0.337549888707679,0.735702410724243,0.999563971498878
"LOC101829778",26.8148817104171,-0.0617798892128736,0.183043288260668,-0.337515184522331,0.735728567410216,0.999563971498878
